true\pred,Benign,DoS,double,force-neutral,fuzzing,interval,rpm,rpm-accessory,speed
Benign,0.000000,0.000000,0.000000,0.000000,0.000000,0.750085,0.000000,0.000000,0.249915
DoS,0.000000,0.000000,0.000000,0.000000,0.000000,0.478450,0.000000,0.000000,0.521550
double,0.000000,0.000000,0.000000,0.000000,0.000000,0.758157,0.000000,0.000000,0.241843
force-neutral,0.000000,0.000000,0.000000,0.000000,0.000000,0.999130,0.000000,0.000000,0.000870
fuzzing,0.000000,0.000000,0.000000,0.000000,0.000000,0.866728,0.000000,0.000000,0.133272
interval,0.000000,0.000000,0.000000,0.000000,0.000000,0.877436,0.000000,0.000000,0.122564
rpm,0.000000,0.000000,0.000000,0.000000,0.000000,0.794368,0.000000,0.000000,0.205632
rpm-accessory,0.000000,0.000000,0.000000,0.000000,0.000000,0.993643,0.000000,0.000000,0.006357
speed,0.000000,0.000000,0.000000,0.000000,0.000000,0.414536,0.000000,0.000000,0.585464
