round,client,n_samples,throughput_mbps,latency_ms,node_trust,quality,behaviour,weight
92,22,153,94.914,80.884,1.0,0.0702,1.0,0.008713
92,79,134,66.953,48.196,1.0,0.0831,1.0,0.010315
92,65,829,68.368,74.265,1.0,0.0551,1.0,0.006836
92,12,141,30.021,80.194,1.0,0.0224,1.0,0.00278
92,41,469,38.477,11.468,1.0,0.2007,1.0,0.024914
92,10,307,65.419,88.263,1.0,0.0443,1.0,0.005503
92,51,104,98.694,83.761,1.0,0.0705,1.0,0.008749
92,4,86,91.504,16.198,1.0,0.3379,1.0,0.041947
92,60,406,24.399,89.962,1.0,0.0162,1.0,0.002014
92,71,283,16.352,26.876,1.0,0.0364,1.0,0.004518
92,6,50,44.893,91.387,1.0,0.0294,1.0,0.003648
92,5,147,76.762,114.282,1.0,0.0402,1.0,0.004988
92,29,803,32.807,81.493,1.0,0.0241,1.0,0.002989
92,44,118,65.392,30.426,1.0,0.1285,1.0,0.015958
92,73,52,73.21,92.538,1.0,0.0473,1.0,0.005874
92,14,52,75.351,7.451,1.0,0.6048,1.0,0.075093
92,23,1320,14.265,80.142,1.0,0.0106,1.0,0.001322
92,42,350,75.889,135.53,1.0,0.0335,1.0,0.004158
92,50,208,64.078,15.999,1.0,0.2395,1.0,0.02974
92,45,62,61.368,118.613,1.0,0.0309,1.0,0.003842
92,49,602,35.477,136.986,1.0,0.0155,1.0,0.001923
92,64,74,98.417,10.858,1.0,0.5421,1.0,0.067303
92,39,446,49.07,35.686,1.0,0.0822,1.0,0.01021
92,58,461,85.148,91.5,1.0,0.0557,1.0,0.00691
92,19,309,43.694,116.931,1.0,0.0223,1.0,0.002775
92,21,179,60.407,148.878,1.0,0.0243,1.0,0.003013
92,53,829,58.731,137.43,1.0,0.0256,1.0,0.003173
92,30,122,85.405,5.968,1.0,0.8559,1.0,0.106262
92,61,346,38.141,37.526,1.0,0.0608,1.0,0.007547
92,40,109,99.787,128.944,1.0,0.0463,1.0,0.005746
92,24,51,93.136,105.459,1.0,0.0528,1.0,0.006558
92,55,189,70.685,67.685,1.0,0.0625,1.0,0.007754
92,70,51,20.481,127.402,1.0,0.0096,1.0,0.001194
92,9,337,94.82,49.535,1.0,0.1145,1.0,0.014213
92,46,295,28.562,106.962,1.0,0.016,1.0,0.001983
92,18,138,39.186,8.936,1.0,0.2623,1.0,0.03256
92,26,547,53.593,128.007,1.0,0.025,1.0,0.003109
92,16,155,37.811,132.576,1.0,0.0171,1.0,0.002118
92,28,159,44.266,109.952,1.0,0.0241,1.0,0.002989
92,13,526,84.903,131.244,1.0,0.0387,1.0,0.004804
92,59,155,94.918,57.116,1.0,0.0994,1.0,0.01234
92,72,121,75.51,25.613,1.0,0.1763,1.0,0.021891
92,1,176,68.707,11.347,1.0,0.3621,1.0,0.044959
92,56,208,94.929,128.443,1.0,0.0442,1.0,0.005488
92,76,152,93.762,140.946,1.0,0.0398,1.0,0.00494
92,54,424,75.625,111.414,1.0,0.0406,1.0,0.00504
92,62,41,85.471,105.361,1.0,0.0485,1.0,0.006024
92,38,94,76.284,7.671,1.0,0.5948,1.0,0.073844
92,0,201,79.656,68.637,1.0,0.0694,1.0,0.008617
93,19,309,43.694,116.931,1.0,0.0223,1.0,0.002775
93,57,109,55.543,86.938,1.0,0.0382,1.0,0.004744
93,51,104,98.694,83.761,1.0,0.0705,1.0,0.008749
93,40,109,99.787,128.944,1.0,0.0463,1.0,0.005746
93,37,308,92.764,15.385,1.0,0.3606,1.0,0.04477
93,26,547,53.593,128.007,1.0,0.025,1.0,0.003109
93,33,54,29.196,27.204,1.0,0.0642,1.0,0.007969
93,20,163,64.839,113.427,1.0,0.0342,1.0,0.004245
93,8,191,80.868,125.882,1.0,0.0384,1.0,0.00477
93,50,208,64.078,15.999,1.0,0.2395,1.0,0.02974
93,34,177,82.57,147.901,1.0,0.0334,1.0,0.004145
93,9,337,94.82,49.535,1.0,0.1145,1.0,0.014213
93,61,346,38.141,37.526,1.0,0.0608,1.0,0.007547
93,48,135,43.51,103.875,1.0,0.0251,1.0,0.00311
93,5,147,76.762,114.282,1.0,0.0402,1.0,0.004988
93,14,52,75.351,7.451,1.0,0.6048,1.0,0.075093
93,65,829,68.368,74.265,1.0,0.0551,1.0,0.006836
93,69,549,23.83,29.549,1.0,0.0482,1.0,0.005988
93,42,350,75.889,135.53,1.0,0.0335,1.0,0.004158
93,25,85,47.29,23.406,1.0,0.1208,1.0,0.015002
93,55,189,70.685,67.685,1.0,0.0625,1.0,0.007754
93,13,526,84.903,131.244,1.0,0.0387,1.0,0.004804
93,78,146,86.837,13.275,1.0,0.3912,1.0,0.048571
93,64,74,98.417,10.858,1.0,0.5421,1.0,0.067303
93,4,86,91.504,16.198,1.0,0.3379,1.0,0.041947
93,70,51,20.481,127.402,1.0,0.0096,1.0,0.001194
93,41,469,38.477,11.468,1.0,0.2007,1.0,0.024914
93,31,88,54.337,48.988,1.0,0.0663,1.0,0.008236
93,24,51,93.136,105.459,1.0,0.0528,1.0,0.006558
93,74,36,25.513,132.154,1.0,0.0115,1.0,0.001434
93,46,295,28.562,106.962,1.0,0.016,1.0,0.001983
93,0,201,79.656,68.637,1.0,0.0694,1.0,0.008617
93,3,202,61.582,81.631,1.0,0.0451,1.0,0.005602
93,28,159,44.266,109.952,1.0,0.0241,1.0,0.002989
93,21,179,60.407,148.878,1.0,0.0243,1.0,0.003013
93,75,361,88.751,27.893,1.0,0.1903,1.0,0.023626
93,52,34,31.57,119.36,1.0,0.0158,1.0,0.001964
93,79,134,66.953,48.196,1.0,0.0831,1.0,0.010315
93,62,41,85.471,105.361,1.0,0.0485,1.0,0.006024
93,12,141,30.021,80.194,1.0,0.0224,1.0,0.00278
93,36,152,47.698,137.695,1.0,0.0207,1.0,0.002572
93,66,324,87.039,96.68,1.0,0.0538,1.0,0.006685
93,53,829,58.731,137.43,1.0,0.0256,1.0,0.003173
93,7,155,42.657,91.017,1.0,0.028,1.0,0.00348
93,39,446,49.07,35.686,1.0,0.0822,1.0,0.01021
93,43,74,13.989,73.407,1.0,0.0114,1.0,0.001415
93,16,155,37.811,132.576,1.0,0.0171,1.0,0.002118
93,77,58,96.062,111.156,1.0,0.0517,1.0,0.006417
93,11,187,11.001,109.242,1.0,0.006,1.0,0.000748
93,27,39,62.234,81.394,1.0,0.0457,1.0,0.005677
93,17,357,62.897,124.78,1.0,0.0301,1.0,0.003743
93,6,50,44.893,91.387,1.0,0.0294,1.0,0.003648
93,15,95,71.575,72.905,1.0,0.0587,1.0,0.00729
93,1,176,68.707,11.347,1.0,0.3621,1.0,0.044959
93,10,307,65.419,88.263,1.0,0.0443,1.0,0.005503
93,56,208,94.929,128.443,1.0,0.0442,1.0,0.005488
93,22,153,94.914,80.884,1.0,0.0702,1.0,0.008713
93,23,1320,14.265,80.142,1.0,0.0106,1.0,0.001322
93,32,44,90.494,80.505,1.0,0.0672,1.0,0.008347
93,54,424,75.625,111.414,1.0,0.0406,1.0,0.00504
93,35,101,80.734,84.92,1.0,0.0569,1.0,0.007059
93,71,283,16.352,26.876,1.0,0.0364,1.0,0.004518
93,29,803,32.807,81.493,1.0,0.0241,1.0,0.002989
93,45,62,61.368,118.613,1.0,0.0309,1.0,0.003842
93,49,602,35.477,136.986,1.0,0.0155,1.0,0.001923
93,58,461,85.148,91.5,1.0,0.0557,1.0,0.00691
93,18,138,39.186,8.936,1.0,0.2623,1.0,0.03256
93,76,152,93.762,140.946,1.0,0.0398,1.0,0.00494
93,38,94,76.284,7.671,1.0,0.5948,1.0,0.073844
93,68,320,93.744,79.303,1.0,0.0707,1.0,0.008777
93,60,406,24.399,89.962,1.0,0.0162,1.0,0.002014
93,63,97,67.438,148.762,1.0,0.0271,1.0,0.003366
93,30,122,85.405,5.968,1.0,0.8559,1.0,0.106262
93,67,43,58.937,127.004,1.0,0.0278,1.0,0.003446
93,72,121,75.51,25.613,1.0,0.1763,1.0,0.021891
93,59,155,94.918,57.116,1.0,0.0994,1.0,0.01234
93,44,118,65.392,30.426,1.0,0.1285,1.0,0.015958
93,2,138,21.031,42.426,1.0,0.0296,1.0,0.003681
93,73,52,73.21,92.538,1.0,0.0473,1.0,0.005874
93,47,265,61.82,116.641,1.0,0.0317,1.0,0.003935
94,49,602,35.477,136.986,1.0,0.0155,1.0,0.001923
94,73,52,73.21,92.538,1.0,0.0473,1.0,0.005874
94,7,155,42.657,91.017,1.0,0.028,1.0,0.00348
94,4,86,91.504,16.198,1.0,0.3379,1.0,0.041947
94,63,97,67.438,148.762,1.0,0.0271,1.0,0.003366
94,22,153,94.914,80.884,1.0,0.0702,1.0,0.008713
94,48,135,43.51,103.875,1.0,0.0251,1.0,0.00311
94,47,265,61.82,116.641,1.0,0.0317,1.0,0.003935
94,57,109,55.543,86.938,1.0,0.0382,1.0,0.004744
94,61,346,38.141,37.526,1.0,0.0608,1.0,0.007547
94,62,41,85.471,105.361,1.0,0.0485,1.0,0.006024
94,39,446,49.07,35.686,1.0,0.0822,1.0,0.01021
94,10,307,65.419,88.263,1.0,0.0443,1.0,0.005503
94,11,187,11.001,109.242,1.0,0.006,1.0,0.000748
94,25,85,47.29,23.406,1.0,0.1208,1.0,0.015002
94,0,201,79.656,68.637,1.0,0.0694,1.0,0.008617
94,68,320,93.744,79.303,1.0,0.0707,1.0,0.008777
94,55,189,70.685,67.685,1.0,0.0625,1.0,0.007754
94,69,549,23.83,29.549,1.0,0.0482,1.0,0.005988
94,23,1320,14.265,80.142,1.0,0.0106,1.0,0.001322
94,28,159,44.266,109.952,1.0,0.0241,1.0,0.002989
94,53,829,58.731,137.43,1.0,0.0256,1.0,0.003173
94,78,146,86.837,13.275,1.0,0.3912,1.0,0.048571
94,79,134,66.953,48.196,1.0,0.0831,1.0,0.010315
94,36,152,47.698,137.695,1.0,0.0207,1.0,0.002572
94,8,191,80.868,125.882,1.0,0.0384,1.0,0.00477
94,5,147,76.762,114.282,1.0,0.0402,1.0,0.004988
94,19,309,43.694,116.931,1.0,0.0223,1.0,0.002775
94,45,62,61.368,118.613,1.0,0.0309,1.0,0.003842
94,9,337,94.82,49.535,1.0,0.1145,1.0,0.014213
94,56,208,94.929,128.443,1.0,0.0442,1.0,0.005488
94,1,176,68.707,11.347,1.0,0.3621,1.0,0.044959
94,18,138,39.186,8.936,1.0,0.2623,1.0,0.03256
94,12,141,30.021,80.194,1.0,0.0224,1.0,0.00278
94,72,121,75.51,25.613,1.0,0.1763,1.0,0.021891
94,64,74,98.417,10.858,1.0,0.5421,1.0,0.067303
94,29,803,32.807,81.493,1.0,0.0241,1.0,0.002989
94,67,43,58.937,127.004,1.0,0.0278,1.0,0.003446
94,46,295,28.562,106.962,1.0,0.016,1.0,0.001983
94,37,308,92.764,15.385,1.0,0.3606,1.0,0.04477
94,60,406,24.399,89.962,1.0,0.0162,1.0,0.002014
94,43,74,13.989,73.407,1.0,0.0114,1.0,0.001415
94,50,208,64.078,15.999,1.0,0.2395,1.0,0.02974
94,42,350,75.889,135.53,1.0,0.0335,1.0,0.004158
94,16,155,37.811,132.576,1.0,0.0171,1.0,0.002118
94,14,52,75.351,7.451,1.0,0.6048,1.0,0.075093
94,26,547,53.593,128.007,1.0,0.025,1.0,0.003109
94,33,54,29.196,27.204,1.0,0.0642,1.0,0.007969
94,51,104,98.694,83.761,1.0,0.0705,1.0,0.008749
94,54,424,75.625,111.414,1.0,0.0406,1.0,0.00504
94,40,109,99.787,128.944,1.0,0.0463,1.0,0.005746
94,30,122,85.405,5.968,1.0,0.8559,1.0,0.106262
94,3,202,61.582,81.631,1.0,0.0451,1.0,0.005602
94,6,50,44.893,91.387,1.0,0.0294,1.0,0.003648
94,77,58,96.062,111.156,1.0,0.0517,1.0,0.006417
94,32,44,90.494,80.505,1.0,0.0672,1.0,0.008347
94,52,34,31.57,119.36,1.0,0.0158,1.0,0.001964
94,20,163,64.839,113.427,1.0,0.0342,1.0,0.004245
94,13,526,84.903,131.244,1.0,0.0387,1.0,0.004804
94,34,177,82.57,147.901,1.0,0.0334,1.0,0.004145
94,24,51,93.136,105.459,1.0,0.0528,1.0,0.006558
94,38,94,76.284,7.671,1.0,0.5948,1.0,0.073844
94,41,469,38.477,11.468,1.0,0.2007,1.0,0.024914
94,27,39,62.234,81.394,1.0,0.0457,1.0,0.005677
94,70,51,20.481,127.402,1.0,0.0096,1.0,0.001194
94,17,357,62.897,124.78,1.0,0.0301,1.0,0.003743
94,76,152,93.762,140.946,1.0,0.0398,1.0,0.00494
94,35,101,80.734,84.92,1.0,0.0569,1.0,0.007059
94,21,179,60.407,148.878,1.0,0.0243,1.0,0.003013
94,59,155,94.918,57.116,1.0,0.0994,1.0,0.01234
94,31,88,54.337,48.988,1.0,0.0663,1.0,0.008236
94,44,118,65.392,30.426,1.0,0.1285,1.0,0.015958
94,66,324,87.039,96.68,1.0,0.0538,1.0,0.006685
94,58,461,85.148,91.5,1.0,0.0557,1.0,0.00691
94,15,95,71.575,72.905,1.0,0.0587,1.0,0.00729
94,71,283,16.352,26.876,1.0,0.0364,1.0,0.004518
94,2,138,21.031,42.426,1.0,0.0296,1.0,0.003681
94,75,361,88.751,27.893,1.0,0.1903,1.0,0.023626
94,74,36,25.513,132.154,1.0,0.0115,1.0,0.001434
94,65,829,68.368,74.265,1.0,0.0551,1.0,0.006836
95,75,361,88.751,27.893,1.0,0.1903,1.0,0.023626
95,17,357,62.897,124.78,1.0,0.0301,1.0,0.003743
95,15,95,71.575,72.905,1.0,0.0587,1.0,0.00729
95,26,547,53.593,128.007,1.0,0.025,1.0,0.003109
95,77,58,96.062,111.156,1.0,0.0517,1.0,0.006417
95,74,36,25.513,132.154,1.0,0.0115,1.0,0.001434
95,11,187,11.001,109.242,1.0,0.006,1.0,0.000748
95,47,265,61.82,116.641,1.0,0.0317,1.0,0.003935
95,22,153,94.914,80.884,1.0,0.0702,1.0,0.008713
95,0,201,79.656,68.637,1.0,0.0694,1.0,0.008617
95,9,337,94.82,49.535,1.0,0.1145,1.0,0.014213
95,45,62,61.368,118.613,1.0,0.0309,1.0,0.003842
95,72,121,75.51,25.613,1.0,0.1763,1.0,0.021891
95,34,177,82.57,147.901,1.0,0.0334,1.0,0.004145
95,58,461,85.148,91.5,1.0,0.0557,1.0,0.00691
95,76,152,93.762,140.946,1.0,0.0398,1.0,0.00494
95,79,134,66.953,48.196,1.0,0.0831,1.0,0.010315
95,49,602,35.477,136.986,1.0,0.0155,1.0,0.001923
95,46,295,28.562,106.962,1.0,0.016,1.0,0.001983
95,2,138,21.031,42.426,1.0,0.0296,1.0,0.003681
95,37,308,92.764,15.385,1.0,0.3606,1.0,0.04477
95,53,829,58.731,137.43,1.0,0.0256,1.0,0.003173
95,33,54,29.196,27.204,1.0,0.0642,1.0,0.007969
95,28,159,44.266,109.952,1.0,0.0241,1.0,0.002989
95,31,88,54.337,48.988,1.0,0.0663,1.0,0.008236
95,68,320,93.744,79.303,1.0,0.0707,1.0,0.008777
95,69,549,23.83,29.549,1.0,0.0482,1.0,0.005988
95,63,97,67.438,148.762,1.0,0.0271,1.0,0.003366
95,13,526,84.903,131.244,1.0,0.0387,1.0,0.004804
95,42,350,75.889,135.53,1.0,0.0335,1.0,0.004158
95,71,283,16.352,26.876,1.0,0.0364,1.0,0.004518
95,57,109,55.543,86.938,1.0,0.0382,1.0,0.004744
95,78,146,86.837,13.275,1.0,0.3912,1.0,0.048571
95,7,155,42.657,91.017,1.0,0.028,1.0,0.00348
95,51,104,98.694,83.761,1.0,0.0705,1.0,0.008749
95,25,85,47.29,23.406,1.0,0.1208,1.0,0.015002
95,19,309,43.694,116.931,1.0,0.0223,1.0,0.002775
95,56,208,94.929,128.443,1.0,0.0442,1.0,0.005488
95,3,202,61.582,81.631,1.0,0.0451,1.0,0.005602
95,43,74,13.989,73.407,1.0,0.0114,1.0,0.001415
95,52,34,31.57,119.36,1.0,0.0158,1.0,0.001964
95,70,51,20.481,127.402,1.0,0.0096,1.0,0.001194
95,60,406,24.399,89.962,1.0,0.0162,1.0,0.002014
95,67,43,58.937,127.004,1.0,0.0278,1.0,0.003446
95,39,446,49.07,35.686,1.0,0.0822,1.0,0.01021
95,27,39,62.234,81.394,1.0,0.0457,1.0,0.005677
95,6,50,44.893,91.387,1.0,0.0294,1.0,0.003648
95,23,1320,14.265,80.142,1.0,0.0106,1.0,0.001322
95,73,52,73.21,92.538,1.0,0.0473,1.0,0.005874
95,61,346,38.141,37.526,1.0,0.0608,1.0,0.007547
95,62,41,85.471,105.361,1.0,0.0485,1.0,0.006024
95,4,86,91.504,16.198,1.0,0.3379,1.0,0.041947
95,8,191,80.868,125.882,1.0,0.0384,1.0,0.00477
95,48,135,43.51,103.875,1.0,0.0251,1.0,0.00311
95,66,324,87.039,96.68,1.0,0.0538,1.0,0.006685
95,16,155,37.811,132.576,1.0,0.0171,1.0,0.002118
95,36,152,47.698,137.695,1.0,0.0207,1.0,0.002572
95,59,155,94.918,57.116,1.0,0.0994,1.0,0.01234
95,64,74,98.417,10.858,1.0,0.5421,1.0,0.067303
95,38,94,76.284,7.671,1.0,0.5948,1.0,0.073844
95,24,51,93.136,105.459,1.0,0.0528,1.0,0.006558
95,32,44,90.494,80.505,1.0,0.0672,1.0,0.008347
95,55,189,70.685,67.685,1.0,0.0625,1.0,0.007754
95,18,138,39.186,8.936,1.0,0.2623,1.0,0.03256
95,10,307,65.419,88.263,1.0,0.0443,1.0,0.005503
95,21,179,60.407,148.878,1.0,0.0243,1.0,0.003013
95,65,829,68.368,74.265,1.0,0.0551,1.0,0.006836
95,40,109,99.787,128.944,1.0,0.0463,1.0,0.005746
95,50,208,64.078,15.999,1.0,0.2395,1.0,0.02974
95,5,147,76.762,114.282,1.0,0.0402,1.0,0.004988
95,14,52,75.351,7.451,1.0,0.6048,1.0,0.075093
95,20,163,64.839,113.427,1.0,0.0342,1.0,0.004245
95,41,469,38.477,11.468,1.0,0.2007,1.0,0.024914
95,54,424,75.625,111.414,1.0,0.0406,1.0,0.00504
95,30,122,85.405,5.968,1.0,0.8559,1.0,0.106262
95,35,101,80.734,84.92,1.0,0.0569,1.0,0.007059
95,44,118,65.392,30.426,1.0,0.1285,1.0,0.015958
95,29,803,32.807,81.493,1.0,0.0241,1.0,0.002989
95,12,141,30.021,80.194,1.0,0.0224,1.0,0.00278
95,1,176,68.707,11.347,1.0,0.3621,1.0,0.044959
96,40,109,99.787,128.944,1.0,0.0463,1.0,0.005746
96,44,118,65.392,30.426,1.0,0.1285,1.0,0.015958
96,55,189,70.685,67.685,1.0,0.0625,1.0,0.007754
96,46,295,28.562,106.962,1.0,0.016,1.0,0.001983
96,62,41,85.471,105.361,1.0,0.0485,1.0,0.006024
96,53,829,58.731,137.43,1.0,0.0256,1.0,0.003173
96,79,134,66.953,48.196,1.0,0.0831,1.0,0.010315
96,30,122,85.405,5.968,1.0,0.8559,1.0,0.106262
96,9,337,94.82,49.535,1.0,0.1145,1.0,0.014213
96,20,163,64.839,113.427,1.0,0.0342,1.0,0.004245
96,6,50,44.893,91.387,1.0,0.0294,1.0,0.003648
96,57,109,55.543,86.938,1.0,0.0382,1.0,0.004744
96,52,34,31.57,119.36,1.0,0.0158,1.0,0.001964
96,47,265,61.82,116.641,1.0,0.0317,1.0,0.003935
96,21,179,60.407,148.878,1.0,0.0243,1.0,0.003013
96,48,135,43.51,103.875,1.0,0.0251,1.0,0.00311
96,70,51,20.481,127.402,1.0,0.0096,1.0,0.001194
96,37,308,92.764,15.385,1.0,0.3606,1.0,0.04477
96,11,187,11.001,109.242,1.0,0.006,1.0,0.000748
96,2,138,21.031,42.426,1.0,0.0296,1.0,0.003681
96,39,446,49.07,35.686,1.0,0.0822,1.0,0.01021
96,67,43,58.937,127.004,1.0,0.0278,1.0,0.003446
96,68,320,93.744,79.303,1.0,0.0707,1.0,0.008777
96,66,324,87.039,96.68,1.0,0.0538,1.0,0.006685
96,23,1320,14.265,80.142,1.0,0.0106,1.0,0.001322
96,36,152,47.698,137.695,1.0,0.0207,1.0,0.002572
96,51,104,98.694,83.761,1.0,0.0705,1.0,0.008749
96,16,155,37.811,132.576,1.0,0.0171,1.0,0.002118
96,28,159,44.266,109.952,1.0,0.0241,1.0,0.002989
96,0,201,79.656,68.637,1.0,0.0694,1.0,0.008617
96,8,191,80.868,125.882,1.0,0.0384,1.0,0.00477
96,59,155,94.918,57.116,1.0,0.0994,1.0,0.01234
96,12,141,30.021,80.194,1.0,0.0224,1.0,0.00278
96,63,97,67.438,148.762,1.0,0.0271,1.0,0.003366
96,74,36,25.513,132.154,1.0,0.0115,1.0,0.001434
96,71,283,16.352,26.876,1.0,0.0364,1.0,0.004518
96,58,461,85.148,91.5,1.0,0.0557,1.0,0.00691
96,3,202,61.582,81.631,1.0,0.0451,1.0,0.005602
96,24,51,93.136,105.459,1.0,0.0528,1.0,0.006558
96,75,361,88.751,27.893,1.0,0.1903,1.0,0.023626
96,33,54,29.196,27.204,1.0,0.0642,1.0,0.007969
96,14,52,75.351,7.451,1.0,0.6048,1.0,0.075093
96,69,549,23.83,29.549,1.0,0.0482,1.0,0.005988
96,25,85,47.29,23.406,1.0,0.1208,1.0,0.015002
96,1,176,68.707,11.347,1.0,0.3621,1.0,0.044959
96,45,62,61.368,118.613,1.0,0.0309,1.0,0.003842
96,41,469,38.477,11.468,1.0,0.2007,1.0,0.024914
96,49,602,35.477,136.986,1.0,0.0155,1.0,0.001923
96,77,58,96.062,111.156,1.0,0.0517,1.0,0.006417
96,73,52,73.21,92.538,1.0,0.0473,1.0,0.005874
96,35,101,80.734,84.92,1.0,0.0569,1.0,0.007059
96,72,121,75.51,25.613,1.0,0.1763,1.0,0.021891
96,43,74,13.989,73.407,1.0,0.0114,1.0,0.001415
96,76,152,93.762,140.946,1.0,0.0398,1.0,0.00494
96,31,88,54.337,48.988,1.0,0.0663,1.0,0.008236
96,4,86,91.504,16.198,1.0,0.3379,1.0,0.041947
96,65,829,68.368,74.265,1.0,0.0551,1.0,0.006836
96,34,177,82.57,147.901,1.0,0.0334,1.0,0.004145
96,7,155,42.657,91.017,1.0,0.028,1.0,0.00348
96,38,94,76.284,7.671,1.0,0.5948,1.0,0.073844
96,27,39,62.234,81.394,1.0,0.0457,1.0,0.005677
96,15,95,71.575,72.905,1.0,0.0587,1.0,0.00729
96,18,138,39.186,8.936,1.0,0.2623,1.0,0.03256
96,5,147,76.762,114.282,1.0,0.0402,1.0,0.004988
96,60,406,24.399,89.962,1.0,0.0162,1.0,0.002014
96,42,350,75.889,135.53,1.0,0.0335,1.0,0.004158
96,19,309,43.694,116.931,1.0,0.0223,1.0,0.002775
96,10,307,65.419,88.263,1.0,0.0443,1.0,0.005503
96,29,803,32.807,81.493,1.0,0.0241,1.0,0.002989
96,50,208,64.078,15.999,1.0,0.2395,1.0,0.02974
96,54,424,75.625,111.414,1.0,0.0406,1.0,0.00504
96,26,547,53.593,128.007,1.0,0.025,1.0,0.003109
96,17,357,62.897,124.78,1.0,0.0301,1.0,0.003743
96,78,146,86.837,13.275,1.0,0.3912,1.0,0.048571
96,13,526,84.903,131.244,1.0,0.0387,1.0,0.004804
96,61,346,38.141,37.526,1.0,0.0608,1.0,0.007547
96,64,74,98.417,10.858,1.0,0.5421,1.0,0.067303
96,56,208,94.929,128.443,1.0,0.0442,1.0,0.005488
96,32,44,90.494,80.505,1.0,0.0672,1.0,0.008347
96,22,153,94.914,80.884,1.0,0.0702,1.0,0.008713
97,34,177,82.57,147.901,1.0,0.0334,1.0,0.004145
97,25,85,47.29,23.406,1.0,0.1208,1.0,0.015002
97,77,58,96.062,111.156,1.0,0.0517,1.0,0.006417
97,68,320,93.744,79.303,1.0,0.0707,1.0,0.008777
97,38,94,76.284,7.671,1.0,0.5948,1.0,0.073844
97,12,141,30.021,80.194,1.0,0.0224,1.0,0.00278
97,43,74,13.989,73.407,1.0,0.0114,1.0,0.001415
97,22,153,94.914,80.884,1.0,0.0702,1.0,0.008713
97,64,74,98.417,10.858,1.0,0.5421,1.0,0.067303
97,51,104,98.694,83.761,1.0,0.0705,1.0,0.008749
97,29,803,32.807,81.493,1.0,0.0241,1.0,0.002989
97,2,138,21.031,42.426,1.0,0.0296,1.0,0.003681
97,35,101,80.734,84.92,1.0,0.0569,1.0,0.007059
97,69,549,23.83,29.549,1.0,0.0482,1.0,0.005988
97,13,526,84.903,131.244,1.0,0.0387,1.0,0.004804
97,57,109,55.543,86.938,1.0,0.0382,1.0,0.004744
97,73,52,73.21,92.538,1.0,0.0473,1.0,0.005874
97,72,121,75.51,25.613,1.0,0.1763,1.0,0.021891
97,71,283,16.352,26.876,1.0,0.0364,1.0,0.004518
97,39,446,49.07,35.686,1.0,0.0822,1.0,0.01021
97,24,51,93.136,105.459,1.0,0.0528,1.0,0.006558
97,16,155,37.811,132.576,1.0,0.0171,1.0,0.002118
97,60,406,24.399,89.962,1.0,0.0162,1.0,0.002014
97,3,202,61.582,81.631,1.0,0.0451,1.0,0.005602
97,76,152,93.762,140.946,1.0,0.0398,1.0,0.00494
97,61,346,38.141,37.526,1.0,0.0608,1.0,0.007547
97,46,295,28.562,106.962,1.0,0.016,1.0,0.001983
97,74,36,25.513,132.154,1.0,0.0115,1.0,0.001434
97,50,208,64.078,15.999,1.0,0.2395,1.0,0.02974
97,41,469,38.477,11.468,1.0,0.2007,1.0,0.024914
97,18,138,39.186,8.936,1.0,0.2623,1.0,0.03256
97,36,152,47.698,137.695,1.0,0.0207,1.0,0.002572
97,53,829,58.731,137.43,1.0,0.0256,1.0,0.003173
97,14,52,75.351,7.451,1.0,0.6048,1.0,0.075093
97,17,357,62.897,124.78,1.0,0.0301,1.0,0.003743
