round,client,n_samples,throughput_mbps,latency_ms,node_trust,quality,behaviour,weight
92,15,95,71.575,72.905,1.0,0.0587,1.0,0.00729
92,27,39,62.234,81.394,1.0,0.0457,1.0,0.005677
92,8,191,80.868,125.882,1.0,0.0384,1.0,0.00477
92,33,54,29.196,27.204,1.0,0.0642,1.0,0.007969
92,63,97,67.438,148.762,1.0,0.0271,1.0,0.003366
92,77,58,96.062,111.156,1.0,0.0517,1.0,0.006417
92,34,177,82.57,147.901,1.0,0.0334,1.0,0.004145
92,7,155,42.657,91.017,1.0,0.028,1.0,0.00348
92,32,44,90.494,80.505,1.0,0.0672,1.0,0.008347
92,47,265,61.82,116.641,1.0,0.0317,1.0,0.003935
92,43,74,13.989,73.407,1.0,0.0114,1.0,0.001415
92,78,146,86.837,13.275,1.0,0.3912,1.0,0.048571
92,48,135,43.51,103.875,1.0,0.0251,1.0,0.00311
92,68,320,93.744,79.303,1.0,0.0707,1.0,0.008777
92,31,88,54.337,48.988,1.0,0.0663,1.0,0.008236
92,17,357,62.897,124.78,1.0,0.0301,1.0,0.003743
92,2,138,21.031,42.426,1.0,0.0296,1.0,0.003681
92,35,101,80.734,84.92,1.0,0.0569,1.0,0.007059
92,57,109,55.543,86.938,1.0,0.0382,1.0,0.004744
92,67,43,58.937,127.004,1.0,0.0278,1.0,0.003446
92,11,187,11.001,109.242,1.0,0.006,1.0,0.000748
92,74,36,25.513,132.154,1.0,0.0115,1.0,0.001434
92,3,202,61.582,81.631,1.0,0.0451,1.0,0.005602
92,20,163,64.839,113.427,1.0,0.0342,1.0,0.004245
92,52,34,31.57,119.36,1.0,0.0158,1.0,0.001964
92,66,324,87.039,96.68,1.0,0.0538,1.0,0.006685
92,25,85,47.29,23.406,1.0,0.1208,1.0,0.015002
92,69,549,23.83,29.549,1.0,0.0482,1.0,0.005988
92,75,361,88.751,27.893,1.0,0.1903,1.0,0.023626
92,36,152,47.698,137.695,1.0,0.0207,1.0,0.002572
92,37,308,92.764,15.385,1.0,0.3606,1.0,0.04477
