true\pred,Benign,DoS,double,force-neutral,fuzzing,interval,rpm,rpm-accessory,speed
Benign,0.000000,0.000000,0.000000,0.000000,0.000000,0.749012,0.000000,0.000000,0.250988
DoS,0.000000,0.000000,0.000000,0.000000,0.000000,0.865340,0.000000,0.000000,0.134660
double,0.000000,0.000000,0.000000,0.000000,0.000000,0.954161,0.000000,0.000000,0.045839
force-neutral,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
fuzzing,0.000000,0.000000,0.000000,0.000000,0.000000,0.406456,0.000000,0.000000,0.593544
interval,0.000000,0.000000,0.000000,0.000000,0.000000,0.999309,0.000000,0.000000,0.000691
rpm,0.000000,0.000000,0.000000,0.000000,0.000000,0.925243,0.000000,0.000000,0.074757
rpm-accessory,0.000000,0.000000,0.000000,0.000000,0.000000,0.190083,0.000000,0.000000,0.809917
speed,0.000000,0.000000,0.000000,0.000000,0.000000,0.890108,0.000000,0.000000,0.109892
