true\pred,class_0,class_1,class_2,class_3,class_4,class_5
class_0,2159765,5,0,455,0,0
class_1,17,328479,0,1,483,0
class_2,0,1433,0,0,124,0
class_3,1127,8,0,1346778,0,0
class_4,1,17505,0,4,22509,0
class_5,13675,112,0,71471,0,0
